Username,Repo_name,Repo_url,Stars_count
mrdoob,three.js,https://github.com/mrdoob/three.js,86000
libgdx,libgdx,https://github.com/libgdx/libgdx,20600
pmndrs,react-three-fiber,https://github.com/pmndrs/react-three-fiber,19900
BabylonJS,Babylon.js,https://github.com/BabylonJS/Babylon.js,18500
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,14900
aframevr,aframe,https://github.com/aframevr/aframe,14600
lettier,3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners,13800
FreeCAD,FreeCAD,https://github.com/FreeCAD/FreeCAD,12400
metafizzy,zdog,https://github.com/metafizzy/zdog,9400
CesiumGS,cesium,https://github.com/CesiumGS/cesium,9400
timzhang642,3D-Machine-Learning,https://github.com/timzhang642/3D-Machine-Learning,8400
isl-org,Open3D,https://github.com/isl-org/Open3D,7500
a1studmuffin,SpaceshipGenerator,https://github.com/a1studmuffin/SpaceshipGenerator,7200
blender,blender,https://github.com/blender/blender,6800
domlysz,BlenderGIS,https://github.com/domlysz/BlenderGIS,5700
openscad,openscad,https://github.com/openscad/openscad,5100
spritejs,spritejs,https://github.com/spritejs/spritejs,5000
FyroxEngine,Fyrox,https://github.com/FyroxEngine/Fyrox,4900
google,model-viewer,https://github.com/google/model-viewer,4800
jagenjo,webglstudio.js,https://github.com/jagenjo/webglstudio.js,4700
