Username,Repo_name,Repo_url,Stars_count
public-apis,public-apis,https://github.com/public-apis/public-apis,212000
neovim,neovim,https://github.com/neovim/neovim,58600
tiangolo,fastapi,https://github.com/tiangolo/fastapi,50500
strapi,strapi,https://github.com/strapi/strapi,48800
hoppscotch,hoppscotch,https://github.com/hoppscotch/hoppscotch,47500
slatedocs,slate,https://github.com/slatedocs/slate,34600
meilisearch,meilisearch,https://github.com/meilisearch/meilisearch,30100
hasura,graphql-engine,https://github.com/hasura/graphql-engine,28200
ccxt,ccxt,https://github.com/ccxt/ccxt,25900
Binaryify,NeteaseCloudMusicApi,https://github.com/Binaryify/NeteaseCloudMusicApi,25800
YMFE,yapi,https://github.com/YMFE/yapi,25100
encode,django-rest-framework,https://github.com/encode/django-rest-framework,24300
httpie,httpie,https://github.com/httpie/httpie,24100
Kong,insomnia,https://github.com/Kong/insomnia,24000
littlecodersh,ItChat,https://github.com/littlecodersh/ItChat,22500
paularmstrong,normalizr,https://github.com/paularmstrong/normalizr,20900
FallibleInc,security-guide-for-developers,https://github.com/FallibleInc/security-guide-for-developers,20400
microsoft,api-guidelines,https://github.com/microsoft/api-guidelines,20100
pubkey,rxdb,https://github.com/pubkey/rxdb,18200
shieldfy,API-Security-Checklist,https://github.com/shieldfy/API-Security-Checklist,17900
