Username,Repo_name,Repo_url,Stars_count
dotnet,AspNetCore.Docs,https://github.com/dotnet/AspNetCore.Docs,11000.0
bitwarden,server,https://github.com/bitwarden/server,10700.0
aspnetboilerplate,aspnetboilerplate,https://github.com/aspnetboilerplate/aspnetboilerplate,10700.0
abpframework,abp,https://github.com/abpframework/abp,8700.0
nopSolutions,nopCommerce,https://github.com/nopSolutions/nopCommerce,7600.0
ElectronNET,Electron.NET,https://github.com/ElectronNET/Electron.NET,6500.0
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,5500.0
RicoSuter,NSwag,https://github.com/RicoSuter/NSwag,5400.0
smartstore,SmartStoreNET,https://github.com/smartstore/SmartStoreNET,2500.0
JimBobSquarePants,ImageProcessor,https://github.com/JimBobSquarePants/ImageProcessor,2500.0
dotnet,aspnet-api-versioning,https://github.com/dotnet/aspnet-api-versioning,2300.0
serenity-is,Serenity,https://github.com/serenity-is/Serenity,2300.0
loic-sharma,BaGet,https://github.com/loic-sharma/BaGet,2200.0
mjebrahimi,Awesome-Microservices-DotNet,https://github.com/mjebrahimi/Awesome-Microservices-DotNet,2000.0
TrilonIO,aspnetcore-angular-universal,https://github.com/TrilonIO/aspnetcore-angular-universal,1500.0
TrilonIO,aspnetcore-Vue-starter,https://github.com/TrilonIO/aspnetcore-Vue-starter,1200.0
MarimerLLC,csla,https://github.com/MarimerLLC/csla,1100.0
antonioCoco,SharPyShell,https://github.com/antonioCoco/SharPyShell,
riganti,dotvvm,https://github.com/riganti/dotvvm,
cornflourblue,aspnet-core-3-jwt-authentication-api,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api,
