Username,Repo_name,Repo_url,Stars_count
jwasham,coding-interview-university,https://github.com/jwasham/coding-interview-university,236000
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,158000
trekhleb,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,153000
TheAlgorithms,Python,https://github.com/TheAlgorithms/Python,147000
yangshun,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,79700
kdn251,interviews,https://github.com/kdn251/interviews,58400
azl397985856,leetcode,https://github.com/azl397985856/leetcode,49600
TheAlgorithms,Java,https://github.com/TheAlgorithms/Java,48400
algorithm-visualizer,algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,39200
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,32400
halfrost,LeetCode-Go,https://github.com/halfrost/LeetCode-Go,26800
crossoverJie,JCSprout,https://github.com/crossoverJie/JCSprout,26800
donnemartin,interactive-coding-challenges,https://github.com/donnemartin/interactive-coding-challenges,26300
huihut,interview,https://github.com/huihut/interview,26200
TheAlgorithms,JavaScript,https://github.com/TheAlgorithms/JavaScript,23200
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,21800
keon,algorithms,https://github.com/keon/algorithms,21700
trekhleb,homemade-machine-learning,https://github.com/trekhleb/homemade-machine-learning,20300
mxgmn,WaveFunctionCollapse,https://github.com/mxgmn/WaveFunctionCollapse,20000
AtsushiSakai,PythonRobotics,https://github.com/AtsushiSakai/PythonRobotics,16500
