Username,Repo_name,Repo_url,Stars_count
flutter,flutter,https://github.com/flutter/flutter,146000
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,96100
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,71600
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,57000
google,material-design-icons,https://github.com/google/material-design-icons,46600
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,44200
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,43200
square,okhttp,https://github.com/square/okhttp,43000
android,architecture-samples,https://github.com/android/architecture-samples,41600
square,retrofit,https://github.com/square/retrofit,40600
dcloudio,uni-app,https://github.com/dcloudio/uni-app,37200
fastlane,fastlane,https://github.com/fastlane/fastlane,35900
PhilJay,MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,35700
airbnb,lottie-android,https://github.com/airbnb/lottie-android,33300
bumptech,glide,https://github.com/bumptech/glide,33000
shadowsocks,shadowsocks-android,https://github.com/shadowsocks/shadowsocks-android,32900
laurent22,joplin,https://github.com/laurent22/joplin,32500
skylot,jadx,https://github.com/skylot/jadx,31900
Blankj,AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,31400
xitu,gold-miner,https://github.com/xitu/gold-miner,31400
