Username,Repo_name,Repo_url,Stars_count
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,96100
angular,angular,https://github.com/angular/angular,84300
storybookjs,storybook,https://github.com/storybookjs/storybook,74500
leonardomso,33-js-concepts,https://github.com/leonardomso/33-js-concepts,52200
ionic-team,ionic-framework,https://github.com/ionic-team/ionic-framework,48100
prettier,prettier,https://github.com/prettier/prettier,44000
SheetJS,sheetjs,https://github.com/SheetJS/sheetjs,31500
Asabeneh,30-Days-Of-JavaScript,https://github.com/Asabeneh/30-Days-Of-JavaScript,28400
angular,angular-cli,https://github.com/angular/angular-cli,25700
angular,components,https://github.com/angular/components,23000
NativeScript,NativeScript,https://github.com/NativeScript/NativeScript,21700
jhipster,generator-jhipster,https://github.com/jhipster/generator-jhipster,20000
goldbergyoni,javascript-testing-best-practices,https://github.com/goldbergyoni/javascript-testing-best-practices,19200
pubkey,rxdb,https://github.com/pubkey/rxdb,18200
handsontable,handsontable,https://github.com/handsontable/handsontable,17100
teambit,bit,https://github.com/teambit/bit,15900
sweetalert2,sweetalert2,https://github.com/sweetalert2/sweetalert2,15100
nrwl,nx,https://github.com/nrwl/nx,14900
sudheerj,javascript-interview-questions,https://github.com/sudheerj/javascript-interview-questions,12300
linnovate,mean,https://github.com/linnovate/mean,12200
