Username,Repo_name,Repo_url,Stars_count
ansible,ansible,https://github.com/ansible/ansible,55000
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,31300
trailofbits,algo,https://github.com/trailofbits/algo,26300
StreisandEffect,streisand,https://github.com/StreisandEffect/streisand,22900
MichaelCade,90DaysOfDevOps,https://github.com/MichaelCade/90DaysOfDevOps,18600
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,13000
ansible,awx,https://github.com/ansible/awx,11500
easzlab,kubeasz,https://github.com/easzlab/kubeasz,8600
geerlingguy,ansible-for-devops,https://github.com/geerlingguy/ansible-for-devops,6200
khuedoan,homelab,https://github.com/khuedoan/homelab,6200
Tikam02,DevOps-Guide,https://github.com/Tikam02/DevOps-Guide,5300
ansible-semaphore,semaphore,https://github.com/ansible-semaphore/semaphore,5300
geerlingguy,mac-dev-playbook,https://github.com/geerlingguy/mac-dev-playbook,4900
rundeck,rundeck,https://github.com/rundeck/rundeck,4700
KubeOperator,KubeOperator,https://github.com/KubeOperator/KubeOperator,4500
clong,DetectionLab,https://github.com/clong/DetectionLab,3900
netbootxyz,netboot.xyz,https://github.com/netbootxyz/netboot.xyz,3600
ansible-community,molecule,https://github.com/ansible-community/molecule,3400
litmuschaos,litmus,https://github.com/litmuschaos/litmus,3300
opendevops-cn,opendevops,https://github.com/opendevops-cn/opendevops,3300
