Username,Repo_name,Repo_url,Stars_count
arendst,Tasmota,https://github.com/arendst/Tasmota,18500
MarlinFirmware,Marlin,https://github.com/MarlinFirmware/Marlin,13900
arduino,Arduino,https://github.com/arduino/Arduino,13200
rwaldron,johnny-five,https://github.com/rwaldron/johnny-five,12800
tinygo-org,tinygo,https://github.com/tinygo-org/tinygo,11700
SpacehuhnTech,esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,10600
espressif,arduino-esp32,https://github.com/espressif/arduino-esp32,9500
hybridgroup,gobot,https://github.com/hybridgroup/gobot,7900
gurugio,lowlevelprogramming-university,https://github.com/gurugio/lowlevelprogramming-university,7900
platformio,platformio-core,https://github.com/platformio/platformio-core,6200
bblanchon,ArduinoJson,https://github.com/bblanchon/ArduinoJson,5800
tzapu,WiFiManager,https://github.com/tzapu/WiFiManager,5400
hybridgroup,cylon,https://github.com/hybridgroup/cylon,3900
Arduino-IRremote,Arduino-IRremote,https://github.com/Arduino-IRremote/Arduino-IRremote,3700
arduino,arduino-cli,https://github.com/arduino/arduino-cli,3600
blynkkk,blynk-library,https://github.com/blynkkk/blynk-library,3500
olikraus,u8g2,https://github.com/olikraus/u8g2,3400
NectarJS,nectarjs,https://github.com/NectarJS/nectarjs,3300
ClemensElflein,OpenMower,https://github.com/ClemensElflein/OpenMower,3300
Serial-Studio,Serial-Studio,https://github.com/Serial-Studio/Serial-Studio,2900
