Username,Repo_name,Repo_url,Stars_count
sindresorhus,awesome,https://github.com/sindresorhus/awesome,223000
vinta,awesome-python,https://github.com/vinta/awesome-python,144000
awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,106000
avelino,awesome-go,https://github.com/avelino/awesome-go,89500
trimstray,the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,80300
papers-we-love,papers-we-love,https://github.com/papers-we-love/papers-we-love,65000
521xueweihan,HelloGitHub,https://github.com/521xueweihan/HelloGitHub,60200
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,57000
jaywcjlove,awesome-mac,https://github.com/jaywcjlove/awesome-mac,53800
DopplerHQ,awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,50400
sindresorhus,awesome-nodejs,https://github.com/sindresorhus/awesome-nodejs,47300
MunGell,awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,44600
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,44200
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,43200
prakhar1989,awesome-courses,https://github.com/prakhar1989/awesome-courses,43200
binhnguyennus,awesome-scalability,https://github.com/binhnguyennus/awesome-scalability,41300
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,40900
vsouza,awesome-ios,https://github.com/vsouza/awesome-ios,40800
tiimgreen,github-cheat-sheet,https://github.com/tiimgreen/github-cheat-sheet,37300
dypsilon,frontend-dev-bookmarks,https://github.com/dypsilon/frontend-dev-bookmarks,35400
