Username,Repo_name,Repo_url,Stars_count
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,31300
microsoft,recommenders,https://github.com/microsoft/recommenders,14200
pulumi,pulumi,https://github.com/pulumi/pulumi,13900
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,13100
Azure,azure-quickstart-templates,https://github.com/Azure/azure-quickstart-templates,12200
mozilla,sops,https://github.com/mozilla/sops,11000
caprover,caprover,https://github.com/caprover/caprover,9400
microsoft,computervision-recipes,https://github.com/microsoft/computervision-recipes,8700
google,go-cloud,https://github.com/google/go-cloud,8600
infracost,infracost,https://github.com/infracost/infracost,8000
microsoft,azuredatastudio,https://github.com/microsoft/azuredatastudio,6900
node-formidable,formidable,https://github.com/node-formidable/formidable,6400
midwayjs,midway,https://github.com/midwayjs/midway,6100
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,5500
aquasecurity,tfsec,https://github.com/aquasecurity/tfsec,5200
budtmo,docker-android,https://github.com/budtmo/docker-android,5000
nccgroup,ScoutSuite,https://github.com/nccgroup/ScoutSuite,4800
bridgecrewio,checkov,https://github.com/bridgecrewio/checkov,4800
cloud-custodian,cloud-custodian,https://github.com/cloud-custodian/cloud-custodian,4500
Azure,azure-sdk-for-net,https://github.com/Azure/azure-sdk-for-net,4000
