Username,Repo_name,Repo_url,Stars_count
jlevy,the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,111000
nvm-sh,nvm,https://github.com/nvm-sh/nvm,61600
junegunn,fzf,https://github.com/junegunn/fzf,47500
google,zx,https://github.com/google/zx,34600
dylanaraps,pure-bash-bible,https://github.com/dylanaraps/pure-bash-bible,32299
LeCoupa,awesome-cheatsheets,https://github.com/LeCoupa/awesome-cheatsheets,30900
koalaman,shellcheck,https://github.com/koalaman/shellcheck,30200
starship,starship,https://github.com/starship/starship,29100
acmesh-official,acme.sh,https://github.com/acmesh-official/acme.sh,28400
mathiasbynens,dotfiles,https://github.com/mathiasbynens/dotfiles,28300
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,25100
withfig,autocomplete,https://github.com/withfig/autocomplete,20300
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,20000
dylanaraps,neofetch,https://github.com/dylanaraps/neofetch,16400
Nyr,openvpn-install,https://github.com/Nyr/openvpn-install,15900
rbenv,rbenv,https://github.com/rbenv/rbenv,14400
powerline,powerline,https://github.com/powerline/powerline,13500
shelljs,shelljs,https://github.com/shelljs/shelljs,13500
Bash-it,bash-it,https://github.com/Bash-it/bash-it,13200
faressoft,terminalizer,https://github.com/faressoft/terminalizer,13000
