Username,Repo_name,Repo_url,Stars_count
ccxt,ccxt,https://github.com/ccxt/ccxt,25900
discordjs,discord.js,https://github.com/discordjs/discord.js,21100
python-telegram-bot,python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,19900
hubotio,hubot,https://github.com/hubotio/hubot,16300
RasaHQ,rasa,https://github.com/RasaHQ/rasa,14900
InstaPy,InstaPy,https://github.com/InstaPy/InstaPy,14700
wechaty,wechaty,https://github.com/wechaty/wechaty,13600
gunthercox,ChatterBot,https://github.com/gunthercox/ChatterBot,12600
tgbot-collection,YYeTsBot,https://github.com/tgbot-collection/YYeTsBot,12000
Rapptz,discord.py,https://github.com/Rapptz/discord.py,11600
leon-ai,leon,https://github.com/leon-ai/leon,11200
howdyai,botkit,https://github.com/howdyai/botkit,10900
botpress,botpress,https://github.com/botpress/botpress,9900
sfyc23,EverydayWechat,https://github.com/sfyc23/EverydayWechat,9200
pedroslopez,whatsapp-web.js,https://github.com/pedroslopez/whatsapp-web.js,7800
microsoft,ailab,https://github.com/microsoft/ailab,7100
microsoft,botframework-sdk,https://github.com/microsoft/botframework-sdk,6900
EZFNDEV,EZFN-Lobbybot,https://github.com/EZFNDEV/EZFN-Lobbybot,6900
yagop,node-telegram-bot-api,https://github.com/yagop/node-telegram-bot-api,6600
maxbbraun,trump2cash,https://github.com/maxbbraun/trump2cash,6100
