Username,Repo_name,Repo_url,Stars_count
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,158000
practical-tutorials,project-based-learning,https://github.com/practical-tutorials/project-based-learning,79100
azl397985856,leetcode,https://github.com/azl397985856/leetcode,49600
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,40900
x64dbg,x64dbg,https://github.com/x64dbg/x64dbg,39200
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,32400
carbon-language,carbon-lang,https://github.com/carbon-language/carbon-lang,28100
huihut,interview,https://github.com/huihut/interview,26200
microsoft,calculator,https://github.com/microsoft/calculator,25800
CMU-Perceptual-Computing-Lab,openpose,https://github.com/CMU-Perceptual-Computing-Lab/openpose,25100
yuzu-emu,yuzu,https://github.com/yuzu-emu/yuzu,22100
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,21800
changkun,modern-cpp-tutorial,https://github.com/changkun/modern-cpp-tutorial,18900
ethereum,solidity,https://github.com/ethereum/solidity,18500
doocs,leetcode,https://github.com/doocs/leetcode,17800
microsoft,vcpkg,https://github.com/microsoft/vcpkg,16900
gabime,spdlog,https://github.com/gabime/spdlog,15900
catchorg,Catch2,https://github.com/catchorg/Catch2,15700
AnthonyCalandra,modern-cpp-features,https://github.com/AnthonyCalandra/modern-cpp-features,15000
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,14900
