Username,Repo_name,Repo_url,Stars_count
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,71600
neovim,neovim,https://github.com/neovim/neovim,58600
git,git,https://github.com/git/git,43900
obsproject,obs-studio,https://github.com/obsproject/obs-studio,42300
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,40900
serhii-londar,open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,32500
FFmpeg,FFmpeg,https://github.com/FFmpeg/FFmpeg,32200
vim,vim,https://github.com/vim/vim,28600
curl,curl,https://github.com/curl/curl,26900
huihut,interview,https://github.com/huihut/interview,26200
ggreer,the_silver_searcher,https://github.com/ggreer/the_silver_searcher,24200
pbatard,rufus,https://github.com/pbatard/rufus,20400
mpv-player,mpv,https://github.com/mpv-player/mpv,20200
ruby,ruby,https://github.com/ruby/ruby,19600
ossrs,srs,https://github.com/ossrs/srs,19300
google,flatbuffers,https://github.com/google/flatbuffers,18900
oracle,graal,https://github.com/oracle/graal,17600
radareorg,radare2,https://github.com/radareorg/radare2,17000
microsoft,vcpkg,https://github.com/microsoft/vcpkg,16900
kovidgoyal,kitty,https://github.com/kovidgoyal/kitty,16300
