Username,Repo_name,Repo_url,Stars_count
iamadamdev,bypass-paywalls-chrome,https://github.com/iamadamdev/bypass-paywalls-chrome,29600
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,20000
refined-github,refined-github,https://github.com/refined-github/refined-github,19100
darkreader,darkreader,https://github.com/darkreader/darkreader,15100
checkly,headless-recorder,https://github.com/checkly/headless-recorder,14500
unbug,codelf,https://github.com/unbug/codelf,13200
Anarios,return-youtube-dislike,https://github.com/Anarios/return-youtube-dislike,10200
crimx,ext-saladict,https://github.com/crimx/ext-saladict,9800
gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile,9300
listen1,listen1_chrome_extension,https://github.com/listen1/listen1_chrome_extension,9100
dailydotdev,daily,https://github.com/dailydotdev/daily,8700
appbaseio,dejavu,https://github.com/appbaseio/dejavu,7900
alyssaxuu,screenity,https://github.com/alyssaxuu/screenity,7700
Kenshin,simpread,https://github.com/Kenshin/simpread,6400
ajayyy,SponsorBlock,https://github.com/ajayyy/SponsorBlock,5700
AutomaApp,automa,https://github.com/AutomaApp/automa,5700
alyssaxuu,omni,https://github.com/alyssaxuu/omni,5600
dessant,buster,https://github.com/dessant/buster,5300
manojVivek,medium-unlimited,https://github.com/manojVivek/medium-unlimited,5000
webclipper,web-clipper,https://github.com/webclipper/web-clipper,4600
