Username,Repo_name,Repo_url,Stars_count
electron,electron,https://github.com/electron/electron,104000
puppeteer,puppeteer,https://github.com/puppeteer/puppeteer,80300
microsoft,playwright,https://github.com/microsoft/playwright,43400
FiloSottile,mkcert,https://github.com/FiloSottile/mkcert,37200
iamadamdev,bypass-paywalls-chrome,https://github.com/iamadamdev/bypass-paywalls-chrome,29600
ovity,octotree,https://github.com/ovity/octotree,22200
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,20000
segmentio,nightmare,https://github.com/segmentio/nightmare,19300
checkly,headless-recorder,https://github.com/checkly/headless-recorder,14500
google,WebFundamentals,https://github.com/google/WebFundamentals,13600
prisma-archive,chromeless,https://github.com/prisma-archive/chromeless,13200
casesandberg,react-color,https://github.com/casesandberg/react-color,11000
GoogleChrome,chrome-extensions-samples,https://github.com/GoogleChrome/chrome-extensions-samples,10800
crimx,ext-saladict,https://github.com/crimx/ext-saladict,9800
gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile,9300
MetaMask,metamask-extension,https://github.com/MetaMask/metamask-extension,8800
chromedp,chromedp,https://github.com/chromedp/chromedp,8300
uBlock-LLC,uBlock,https://github.com/uBlock-LLC/uBlock,8100
alvarcarto,url-to-pdf-api,https://github.com/alvarcarto/url-to-pdf-api,6700
Kenshin,simpread,https://github.com/Kenshin/simpread,6400
