Username,Repo_name,Repo_url,Stars_count
metabase,metabase,https://github.com/metabase/metabase,29900
penpot,penpot,https://github.com/penpot/penpot,18500
logseq,logseq,https://github.com/logseq/logseq,17200
deeplearning4j,deeplearning4j,https://github.com/deeplearning4j/deeplearning4j,12600
LightTable,LightTable,https://github.com/LightTable/LightTable,11700
kanaka,mal,https://github.com/kanaka/mal,8900
lk-geimfari,awesomo,https://github.com/lk-geimfari/awesomo,8600
tonsky,datascript,https://github.com/tonsky/datascript,4900
reagent-project,reagent,https://github.com/reagent-project/reagent,4500
riemann,riemann,https://github.com/riemann/riemann,4100
weavejester,compojure,https://github.com/weavejester/compojure,4000
bbatsov,clojure-style-guide,https://github.com/bbatsov/clojure-style-guide,3900
izhangzhihao,intellij-rainbow-brackets,https://github.com/izhangzhihao/intellij-rainbow-brackets,3800
status-im,status-mobile,https://github.com/status-im/status-mobile,3500
ring-clojure,ring,https://github.com/ring-clojure/ring,3500
clojure-emacs,cider,https://github.com/clojure-emacs/cider,3400
viebel,klipse,https://github.com/viebel/klipse,3000
babashka,babashka,https://github.com/babashka/babashka,3000
tallesl,Rich-Hickey-fanclub,https://github.com/tallesl/Rich-Hickey-fanclub,2900
bhauman,lein-figwheel,https://github.com/bhauman/lein-figwheel,2900
