Username,Repo_name,Repo_url,Stars_count
realm,SwiftLint,https://github.com/realm/SwiftLint,16600
facebook,infer,https://github.com/facebook/infer,13600
analysis-tools-dev,static-analysis,https://github.com/analysis-tools-dev/static-analysis,10400
Kristories,awesome-guidelines,https://github.com/Kristories/awesome-guidelines,8100
checkstyle,checkstyle,https://github.com/checkstyle/checkstyle,7300
SonarSource,sonarqube,https://github.com/SonarSource/sonarqube,7200
facebook,pyre-check,https://github.com/facebook/pyre-check,6100
reviewdog,reviewdog,https://github.com/reviewdog/reviewdog,5600
detekt,detekt,https://github.com/detekt/detekt,4900
simplecov-ruby,simplecov,https://github.com/simplecov-ruby/simplecov,4500
import-js,eslint-plugin-import,https://github.com/import-js/eslint-plugin-import,4300
PyCQA,pylint,https://github.com/PyCQA/pylint,4300
pmd,pmd,https://github.com/pmd/pmd,4000
phpro,grumphp,https://github.com/phpro/grumphp,3800
trekhleb,state-of-the-art-shitcode,https://github.com/trekhleb/state-of-the-art-shitcode,3700
htmlhint,HTMLHint,https://github.com/htmlhint/HTMLHint,2900
kucherenko,jscpd,https://github.com/kucherenko/jscpd,2800
codeclimate,codeclimate,https://github.com/codeclimate/codeclimate,2300
wemake-services,wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide,2000
uber,piranha,https://github.com/uber/piranha,2000
