Username,Repo_name,Repo_url,Stars_count
ovity,octotree,https://github.com/ovity/octotree,22200.0
gitpod-io,gitpod,https://github.com/gitpod-io/gitpod,9300.0
reviewdog,reviewdog,https://github.com/reviewdog/reviewdog,5600.0
danger,danger,https://github.com/danger/danger,4900.0
danger,danger-js,https://github.com/danger/danger-js,4600.0
joho,awesome-code-review,https://github.com/joho/awesome-code-review,3600.0
ajinabraham,nodejsscan,https://github.com/ajinabraham/nodejsscan,2000.0
microsoft,vscode-pull-request-github,https://github.com/microsoft/vscode-pull-request-github,1900.0
houndci,hound,https://github.com/houndci/hound,1900.0
mbj,mutant,https://github.com/mbj/mutant,1900.0
crev-dev,cargo-crev,https://github.com/crev-dev/cargo-crev,1700.0
reviewboard,reviewboard,https://github.com/reviewboard/reviewboard,1400.0
Tencent,CodeAnalysis,https://github.com/Tencent/CodeAnalysis,1300.0
ryanmcdermott,code-review-tips,https://github.com/ryanmcdermott/code-review-tips,1200.0
bit4woo,python_sec,https://github.com/bit4woo/python_sec,1200.0
code-review-checklists,java-concurrency,https://github.com/code-review-checklists/java-concurrency,1100.0
jiangsir404,Audit-Learning,https://github.com/jiangsir404/Audit-Learning,
TeamCodeStream,codestream,https://github.com/TeamCodeStream/codestream,
enlightn,enlightn,https://github.com/enlightn/enlightn,
palantir,policy-bot,https://github.com/palantir/policy-bot,
