Username,Repo_name,Repo_url,Stars_count
ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,151000
junegunn,fzf,https://github.com/junegunn/fzf,47500
sharkdp,bat,https://github.com/sharkdp/bat,37600
sherlock-project,sherlock,https://github.com/sherlock-project/sherlock,36400
google,zx,https://github.com/google/zx,34600
wagoodman,dive,https://github.com/wagoodman/dive,34100
BurntSushi,ripgrep,https://github.com/BurntSushi/ripgrep,33600
chubin,cheat.sh,https://github.com/chubin/cheat.sh,30700
jesseduffield,lazygit,https://github.com/jesseduffield/lazygit,30200
cli,cli,https://github.com/cli/cli,30100
spf13,cobra,https://github.com/spf13/cobra,29000
n8n-io,n8n,https://github.com/n8n-io/n8n,26000
angular,angular-cli,https://github.com/angular/angular-cli,25700
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,25100
sharkdp,fd,https://github.com/sharkdp/fd,24900
ibraheemdev,modern-unix,https://github.com/ibraheemdev/modern-unix,24500
httpie,httpie,https://github.com/httpie/httpie,24100
google,python-fire,https://github.com/google/python-fire,23200
tqdm,tqdm,https://github.com/tqdm/tqdm,23100
vercel,pkg,https://github.com/vercel/pkg,22100
