Username,Repo_name,Repo_url,Stars_count
vercel,next.js,https://github.com/vercel/next.js,93800
rust-lang,rust,https://github.com/rust-lang/rust,73100
sveltejs,svelte,https://github.com/sveltejs/svelte,62700
webpack,webpack,https://github.com/webpack/webpack,61900
gatsbyjs,gatsby,https://github.com/gatsbyjs/gatsby,53600
JetBrains,kotlin,https://github.com/JetBrains/kotlin,42900
babel,babel,https://github.com/babel/babel,41500
parcel-bundler,parcel,https://github.com/parcel-bundler/parcel,41400
evanw,esbuild,https://github.com/evanw/esbuild,33600
vlang,v,https://github.com/vlang/v,30700
markedjs,marked,https://github.com/markedjs/marked,28500
carbon-language,carbon-lang,https://github.com/carbon-language/carbon-lang,28100
swc-project,swc,https://github.com/swc-project/swc,24200
vercel,pkg,https://github.com/vercel/pkg,22100
v8,v8,https://github.com/v8/v8,20300
ziglang,zig,https://github.com/ziglang/zig,18000
AssemblyScript,assemblyscript,https://github.com/AssemblyScript/assemblyscript,14700
nim-lang,Nim,https://github.com/nim-lang/Nim,13700
Konloch,bytecode-viewer,https://github.com/Konloch/bytecode-viewer,13300
RustPython,RustPython,https://github.com/RustPython/RustPython,12300
